old_slug,canonical_slug,old_countries,old_types,sample_name_en
accountants,accountant,1,NCO2015,Accountants
actors,actor,1,SOC,Actors
actuaries,actuary,1,SOC,Actuaries
administrative-assistants,administrative-assistant,1,NOC,Administrative assistants
advertising-and-marketing-professionals,advertising-and-marketing-professional,1,CNO,Advertising and Marketing Professionals
advertising-and-public-relations-managers,advertising-and-public-relation-manager,1,NCO2015,Advertising and Public Relations Managers
aerospace-engineers,aerospace-engineer,3,NOC|SOC,Aerospace engineers
aged-care-services-manager,aged-care-service-manager,1,NCO2015,Aged Care Services Manager
agricultural-and-agritech-technicians,agricultural-and-agritech-technician,1,NOC,Agricultural and agritech technicians
agricultural-and-forestry-production-managers,agricultural-and-forestry-production-manager,1,CNO,Agricultural and Forestry Production Managers
agricultural-engineers,agricultural-engineer,1,SOC,Agricultural Engineers
agricultural-technicians,agricultural-technician,1,SOC,Agricultural Technicians
air-traffic-controllers,air-traffic-controller,2,NOC|SOC,Air traffic controllers
air-traffic-safety-electronics-technicians,air-traffic-safety-electronics-technician,1,NCO2015,Air Traffic Safety Electronics Technicians
aircraft-maintenance-engineer-avionics,aircraft-maintenance-engineer-avionic,2,ANZSCO,Aircraft Maintenance Engineer (Avionics)
aircraft-maintenance-engineers,aircraft-maintenance-engineer,1,NOC,Aircraft maintenance engineers
aircraft-maintenance-engineers-avionics,aircraft-maintenance-engineer-avionic,1,NOC,Aircraft maintenance engineers (avionics)
anesthesiologists,anesthesiologist,1,SOC,Anesthesiologists
animal-caretakers,animal-caretaker,1,SOC,Animal Caretakers
announcers-on-radio-television-and-other-media,announcer-on-radio-television-and-other-media,1,NCO2015,"Announcers on Radio, Television and Other Media"
applications-programmer,application-programmer,1,NCO2015,Applications Programmer
aquaculture-and-fisheries-production-managers,aquaculture-and-fishery-production-manager,1,NCO2015,Aquaculture and Fisheries Production Managers
architects,architect,1,SOC,Architects
archivists,archivist,2,NOC|SOC,Archivists
armed-forces-occupations-other-ranks,armed-forces-occupation-other-rank,1,NCO2015,"Armed Forces Occupations, Other Ranks"
assemblers-not-elsewhere-classified,assembler-not-elsewhere-classified,1,CNO,Assemblers Not Elsewhere Classified
astrologers-fortunetellers-and-related-workers,astrologer-fortuneteller-and-related-worker,1,NCO2015,"Astrologers, Fortune-tellers and Related Workers"
athletes-and-sports-players,athlete-and-sports-player,1,NCO2015,Athletes and Sports Players
bailiffs,bailiff,1,SOC,Bailiffs
bakers,baker,2,NOC|SOC,Bakers
barbers,barber,1,SOC,Barbers
bartenders,bartender,1,SOC,Bartenders
bicycle-and-related-repairers,bicycle-and-related-repairer,1,NCO2015,Bicycle and Related Repairers
bicycle-repairers,bicycle-repairer,1,SOC,Bicycle Repairers
boilermakers,boilermaker,2,NOC|SOC,Boilermakers
bookmakers-croupiers-and-related-gaming-workers,bookmaker-croupier-and-related-gaming-worker,1,NCO2015,"Bookmakers, Croupiers and Related Gaming Workers"
bricklayers,bricklayer,2,NOC|SOC,Bricklayers
broadcasting-and-audiovisual-technicians,broadcasting-and-audiovisual-technician,1,NCO2015,Broadcasting and Audiovisual Technicians
building-and-related-electricians,building-and-related-electrician,1,NCO2015,Building and Related Electricians
bus-and-coach-drivers,bus-and-coach-driver,1,SOC,Bus and coach drivers
bus-and-tram-drivers,bus-and-tram-driver,1,CNO,Bus and Tram Drivers
business-services-agent-not-elsewhere-classified,business-service-agent-not-elsewhere-classified,1,NCO2015,Business Services Agent Not Elsewhere Classified
business-services-and-administration-managers-not-elsewhere-classified,business-service-and-administration-manager-not-elsewhere-classified,1,NCO2015,Business Services and Administration Managers Not Elsewhere Classified
butchers,butcher,1,SOC,Butchers
buyers,buyer,1,NCO2015,Buyers
